,Group,Lineage,celltype,celltype3
PCC_1,PCC,CancerCell,PCC,CancerCell
PCC_2,PCC,CancerCell,PCC,CancerCell
PCC_3,PCC,CancerCell,PCC,CancerCell
PCC_4,PCC,CancerCell,PCC,CancerCell
PCC_5,PCC,CancerCell,PCC,CancerCell
CAF_1,CAF,CAF,CAF,CAF
CAF_2,CAF,CAF,CAF,CAF
CAF_3,CAF,CAF,CAF,CAF
CAF_4,CAF,CAF,CAF,CAF
CAF_5,CAF,CAF,CAF,CAF
T4_1,T4,LYM,T4,Immune
T4_2,T4,LYM,T4,Immune
T4_3,T4,LYM,T4,Immune
T4_4,T4,LYM,T4,Immune
T4_5,T4,LYM,T4,Immune
T8_1,T8,LYM,T8,Immune
T8_2,T8,LYM,T8,Immune
T8_3,T8,LYM,T8,Immune
T8_4,T8,LYM,T8,Immune
T8_5,T8,LYM,T8,Immune
Treg_1,Treg,LYM,Treg,Immune
Treg_2,Treg,LYM,Treg,Immune
Treg_3,Treg,LYM,Treg,Immune
Treg_4,Treg,LYM,Treg,Immune
Treg_5,Treg,LYM,Treg,Immune
B_1,B,LYM,B,Immune
B_2,B,LYM,B,Immune
B_3,B,LYM,B,Immune
B_4,B,LYM,B,Immune
B_5,B,LYM,B,Immune
NEU_1,NEU,MYE,NEU,Immune
NEU_2,NEU,MYE,NEU,Immune
NEU_3,NEU,MYE,NEU,Immune
NEU_4,NEU,MYE,NEU,Immune
NEU_5,NEU,MYE,NEU,Immune
MO_1,MO,MYE,MO,Immune
MO_2,MO,MYE,MO,Immune
MO_3,MO,MYE,MO,Immune
MO_4,MO,MYE,MO,Immune
MO_5,MO,MYE,MO,Immune
MAC_1,MAC,MYE,MAC,Immune
MAC_2,MAC,MYE,MAC,Immune
MAC_3,MAC,MYE,MAC,Immune
MAC_4,MAC,MYE,MAC,Immune
MAC_5,MAC,MYE,MAC,Immune
DC_1,DC,MYE,DC,Immune
DC_2,DC,MYE,DC,Immune
DC_3,DC,MYE,DC,Immune
DC_4,DC,MYE,DC,Immune
DC_5,DC,MYE,DC,Immune
