pid,PCC_1,PCC_2,PCC_3,PCC_4,PCC_5,CAF_1,CAF_2,CAF_3,CAF_4,CAF_5,T4_1,T4_2,T4_3,T4_4,T4_5,T8_1,T8_2,T8_3,T8_4,T8_5,Treg_1,Treg_2,Treg_3,Treg_4,Treg_5,B_1,B_2,B_3,B_4,B_5,NEU_1,NEU_2,NEU_3,NEU_4,NEU_5,MO_1,MO_2,MO_3,MO_4,MO_5,MAC_1,MAC_2,MAC_3,MAC_4,MAC_5,DC_1,DC_2,DC_3,DC_4,DC_5
A0A0B4J1G0,38375.74609,35378.87109,25351.25195,25669.93164,40010.83594,25178.24609,21288.38672,27561.34375,28484.37305,19382.74219,32642.1543,26676.91602,27368.87891,50724.19141,26009.46289,27296.73242,34964.54297,21002.5293,23443.92969,24347.86133,35295.55078,33220.69141,27609.93945,41261.75781,20171.35352,34950.125,37639.05078,44655.14844,18586.25781,27484.02148,31983.31055,20205.54297,22022.46289,26033.08008,32959.78125,22330.03906,23012.16992,23362.06055,30189.22852,20851.35742,69099.39844,26208.58008,100399.1094,32766.33203,25982.08789,53581.55469,9901.633789,25927.0332,62469.29297,27732.86133
A0A0G2JDV3,29394.19336,30507.64063,17020.91797,24542.5625,18977.95703,27285.81836,24259.80469,26767.95898,24147.79297,18611.32617,57974.875,25794.22266,68322.07813,66936.17188,77636.20313,41336.72266,51185.07031,67069.57813,62058.16016,94192.52344,78628.5625,72997.79688,67829.32813,80572.52344,84885.57813,48178.6875,62024.57031,36313.0625,78997.625,81518.41406,20916.68359,15661.19824,33510.4375,36766.98828,41904.9375,45998.79297,74609.25781,37763.68359,44574.84375,19727.43359,26852.24805,42128.27344,31877.16211,34977.92969,47204.60156,46292.75781,40002.76953,40428.45313,42217.14844,14028.25293
A1IGU4,28660.80078,48778.51953,24358.19727,30730.97266,54370.85938,35358.20703,32398.76367,24890.37109,19608.61523,25578.86914,31179.79297,23479.47656,23122.36914,22529.17773,20048.77344,51936.25781,31635.69141,24889.36719,22163.08594,21283.89844,29898.04492,26072.98438,26741.76563,23704.40234,23388.94727,24658.7207,25550.25977,41741.16016,24700.01172,35031.28906,31784.60156,14506.6582,23903.95898,17935.13281,27301.58789,99709.9375,109027.5391,17925.07031,112591.8281,106360.9063,70783.99219,79900.52344,19770.60742,74765.57031,94858.10938,12542.95508,13291.86133,30535.14063,18036.25,18126.5625
A1L314,32349.94922,29583.6875,28605.04102,36567.89453,27976.62891,36151.30078,26701.6875,26320.89453,30651.08008,32086.99023,24006.98438,26951.22656,32273.16406,34951.57813,14982.41113,25042.76563,30166.74609,22505.36133,20734.81445,22315.91797,43048.42969,34523.80859,16477.74414,26947.00586,20559.82617,27734.47461,41806.96484,37423.57813,22780.45117,38568.13281,84111.41406,18615.0293,29615.69727,57316.5625,27937.7832,171879.8438,172395.0781,103314.8906,105474.7891,149569.2969,122876.6094,135040.0625,129479.375,90158.89063,145922.2656,151374.6094,194448.7969,181499.7813,170220.4375,199727.5313
A2A432,42537.72656,27548.375,16654.06055,31382.64453,31345.3457,40026.67969,48903.20703,53186.42969,45422.93359,71648.58594,49130.34375,58162.73047,62894.78906,112897.3984,69687.375,35731.98438,54262.35156,48456.62891,44854.55078,61139.07031,57026.58203,58748.25781,54862.98438,48158.08984,60068.37891,83433.27344,60144.78516,38218.46094,74352.35156,66283.98438,42026.30469,13632.30762,56705.63281,50760.65234,33514.95703,61781.95703,45524.35547,47722.88672,55056.15234,56132.26563,45161.14063,70895.15625,36453.83203,28487.80078,66876.64844,44948.60938,47706.51563,52810.79297,55878.07813,60205.68359
A2A4P0,24847.41406,20505.98047,32781.28125,38195.82813,33819.98828,54410.30078,37018.15234,21743.81641,27154.77148,66806.47656,71023.30469,63574.07813,70768.46094,33262.72656,72382.36719,106280.9219,84296.21094,64758.00391,88751.4375,73877.8125,33460.89844,91588.0625,66553.82813,18648.57813,68293.27344,32696.48828,28645.9707,45964.41406,88019.13281,74562.21875,75154.44531,20571.92578,16711.83594,79743.59375,32275.97852,83427.42969,63569.28906,56617.23828,56492.71094,28553.63477,65499.40234,23570.32422,23840.55273,19526.69922,20797.74023,78719.78125,59073.69922,44416.36328,45915.1875,22866.40234
A2A5R2,32399.23438,47464.37109,50324.67969,91208.64063,94175.09375,69964.78125,78250.57031,62805.96094,52260.5,69633.5,25362.41406,31138.14648,32132.96484,29728.32422,53072.07422,34463.11328,25053.38086,57764.85938,29274.10547,78325.71094,50622.02734,25809.38477,60556.37109,16751.32031,65813.58594,78427.57031,61269.58984,118374.6484,86474.21875,71449.375,86259.32813,62393.27344,90650.96094,75286.01563,34586.78516,72146.19531,67819.19531,66622.92969,25896.7832,66462.90625,57225.32422,76594.27344,81600.25781,87469.15625,87621.9375,71744.32813,57318.19141,89194.30469,63446.66016,93800.45313
A2A6T1,32364.36523,23857.35742,21551.42188,22531.69336,39107.05469,22799.32813,23158.34766,14706.00879,33580.42188,29536.77148,35524.30859,24038.74414,27557.53516,27268.43555,24542.49805,24410.82617,23631.99609,25375.22656,25129.57813,17908.5957,22890.78125,21813.91406,40610.51172,41113.15625,29106.52148,33988.72656,24673.98242,40821.27734,33124.44922,35626.72266,24255.01172,26184.50977,18621.65039,24135.83984,35913.63672,23066.57227,24604.59766,29300.20313,20581.71875,27344.66406,24495.33203,17342.54883,20087.65625,27682.94922,39677.07813,13224.78906,18650.53906,33559.22656,25728.88086,21841.06836
A2A863,180604.0938,167120.6719,157719.3594,167917.0781,182539.8438,83807.82813,62106.21484,22898.06055,17111.39453,19419.50977,28461.01563,34754.27344,26771.71094,24785.48828,68040.66406,43781.29297,40558.22266,12867.75781,30403.53711,22302.24805,34618.21484,36674.77344,27527.4043,23670.39258,18958.97266,39325.76953,23269.9707,46768.49609,58140.32031,36870.28125,30431.04297,129726.2813,97795.23438,68661.64844,56904.19922,21046.14063,18623.60742,26711.57227,27009.13672,19908.24414,25276.50391,22744.88086,25419.12891,22203.77734,26503.72852,19585.62109,22810.19727,103624.4609,20262.08008,29684.96484
A2A8L1,36657.73438,25739.46289,20098.91992,25784.33594,39938.58984,25547.20313,31939.5332,19095.78125,30399.03516,32841.59766,25831.83008,20418.60156,18314.66016,18637.01953,24573.14648,37791.62891,30850.00195,31270.49023,46427.9375,20086.71289,45706.14844,27894.23242,34810.44531,35866.09375,20982.17188,41961.90234,28461.37305,33835.08203,33454.66016,30149.10352,50973.73438,23619.2207,30758.55273,30216.94141,20641.58594,30370.37305,27653.32031,23039.75,27002.46094,23382.8418,16394.06445,22420.08594,37129.09766,18713.75586,30181.52734,14036.2207,15686.71777,27310.79297,17928.25781,9318.336914
