"pid","gene","genes"
"A0A087WPF7","Auts2","Auts2 Kiaa0442"
"A0A088MLT8","Iqcj-Schip1","Iqcj-Schip1 Iqschfp Schip1"
"A0A0B4J1F4","Arrdc4","Arrdc4"
"A0A0B4J1G0","Fcgr4","Fcgr4 Fcgr3a"
"A0A0B4J1N3","Gpr15lg","Gpr15lg Gpr15l"
"A0A0G2JDV3","Gbp6","Gbp6 Mpa2l"
"A0A0U1RPR8","Gucy2d","Gucy2d"
"A0A140LI88","Ankrd31","Ankrd31"
"A0A140LIF8","Irgm2","Irgm2 Iigp2"
"A0A1D9BZF0","Gcna","Gcna"
"A0A1W2P872","Nova2","Nova2"
"A0A2R8VHR8","Ddit3","Ddit3"
"A0A494BA31","Slc4a9","Slc4a9 AE4"
"A0A5F8MPU3","C2cd6","C2cd6 Als2cr11 CATSPERT"
"A0A5K7RLP0","Meiosin","Meiosin Bhmg1"
"A0JNT9","Bicdl1","Bicdl1 Bicdr1 Ccdc64"
"A0JNU3","Aspg","Aspg"
"A1A546","Isx","Isx"
"A1A547","Pglyrp3","Pglyrp3 Gm420 Pgrpia"
"A1E960","Odam","Odam Apin"
"A1KXC4","Fcmr","Fcmr Faim3 Toso"
"A1L314","Mpeg1","Mpeg1"
"A1L3P4","Slc9a6","Slc9a6 Nhe6"
"A1Y9I9","Tomt","Tomt Comt2"
"A1Z198","Nlrp1b","Nlrp1b Nalp1b"
"A2A259","Pkd2l1","Pkd2l1 Trpp3"
"A2A432","Cul4b","Cul4b Kiaa0695"
"A2A5K6","Znf335","Znf335 Zfp335"
"A2A5N8","L3mbtl1","L3mbtl1 Kiaa0681 L3mbt L3mbtl"
"A2A5R2","Arfgef2","Arfgef2 Arfgep2 Big2"
"A2A5Z6","Smurf2","Smurf2"
"A2A6C4","Sppl2c","Sppl2c Imp5"
"A2A6M5","Calcoco2","Calcoco2 Ndp52 Ndp52l1"
"A2A6Q5","Cdc27","Cdc27"
"A2A7Q9","Rnf19b","Rnf19b Ibrdc3 Nklam"
"A2A825","Cplane2","Cplane2 Gm723 Rsg1"
"A2A863","Itgb4","Itgb4"
"A2A884","Hivep3","Hivep3 KBP1 Kiaa1555 Krc Rc shn3 Zas3"
"A2A891","Camta1","Camta1 Kiaa0833"
"A2A8L1","Chd5","Chd5 Kiaa0444"
"A2A8L5","Ptprf","Ptprf Lar"
"A2A8U2","Tmem201","Tmem201 D4Ertd429e Net5 Samp1"
"A2A935","Prdm16","Prdm16 Kiaa1675 Mel1"
"A2A974","Cyp4a12b","Cyp4a12b"
"A2A9A2","Dmrta2","Dmrta2 Dmrt5"
"A2A9C3","Szt2","Szt2"
"A2A9F4","Kdf1","Kdf1"
"A2AA28","Mettl23","Mettl23"
"A2AAE1","Bltp1","Bltp1 Fsa Kiaa1109 Kiaa1371"
"A2AAJ9","Obscn","Obscn Gm878"
"A2AAY5","Sh3pxd2b","Sh3pxd2b Fad49 Tks4"
"A2ABV5","Med14","Med14 Crsp2 Gm641 Trap170"
"A2AC93","Dnai2","Dnai2 Dnaic2"
"A2AD83","Frmd7","Frmd7"
"A2AF47","Dock11","Dock11 Ziz2"
"A2AG06","Meioc","Meioc Gm1564"
"A2AGH6","Med12","Med12 Kiaa0192 Mopa Tnrc11 Trap230"
"A2AGL3","Ryr3","Ryr3"
"A2AGT5","Ckap5","Ckap5"
"A2AH22","Ambra1","Ambra1 Kiaa1736"
"A2AHL1","Ano3","Ano3 Tmem16c"
"A2AI05","Ndor1","Ndor1"
"A2AIR5","Grin3a","Grin3a Kiaa1973"
"A2AIV2","Virma","Virma Kiaa1429"
"A2AIV8","Card9","Card9"
"A2AIW0","Entr1","Entr1 Sdccag3"
"A2AJ15","Man1b1","Man1b1"
"A2AJ76","Hmcn2","Hmcn2"
"A2AJ77","Prdm12","Prdm12 Gm998"
"A2AJ88","Pnpla7","Pnpla7"
"A2AJB7","Lcn5","Lcn5 Mep10"
"A2AJK6","Chd7","Chd7"
"A2AJN7","Slc4a11","Slc4a11 BTR1"
"A2AJX4","Malrd1","Malrd1 Diet1 Gm13318"
"A2AKK5","Acnat1","Acnat1"
"A2AKQ0","Slc35d1","Slc35d1"
"A2AKX3","Setx","Setx Als4 Kiaa0625"
"A2AL36","Cntrl","Cntrl Cep1 Cep110"
"A2ALS5","Rap1gap","Rap1gap Kiaa0474 Rap1ga1"
"A2ALU4","Shroom2","Shroom2 Apxl"
"A2ALV5","Shoc1","Shoc1 Zip2"
"A2AM29","Mllt3","Mllt3 Af9"
"A2AMM0","Cavin4","Cavin4 Murc"
"A2AMT1","Bfsp1","Bfsp1"
"A2AN08","Ubr4","Ubr4 Kiaa0462 Zubr1"
"A2ANU3","Syndig1","Syndig1 Tmem90b"
"A2AP18","Plch2","Plch2 Plcl4"
"A2APB8","Tpx2","Tpx2"
"A2APC3","Ttll9","Ttll9"
"A2APF3","Ctcfl","Ctcfl Boris"
"A2APX8","Scn1a","Scn1a"
"A2AQ07","Tubb1","Tubb1"
"A2AQ19","Rtf1","Rtf1"
"A2AQ25","Skt","Skt Etl4 Kiaa1217"
"A2AR95","Ldlrad3","Ldlrad3"
"A2ARA8","Itga8","Itga8"
"A2ARI4","Lgr4","Lgr4 Gpr48"
"A2ARP1","Ppip5k1","Ppip5k1 Hisppd2a Kiaa0377 Vip1"
"A2ARP9","Catsper2","Catsper2"
"A2ARV4","Lrp2","Lrp2"
"A2AS55","Ankrd16","Ankrd16"
"A2AS89","Agmat","Agmat Gdah"
"A2ASI5","Scn3a","Scn3a"
"A2ASQ1","Agrn","Agrn Agrin"
"A2ASS6","Ttn","Ttn"
"A2ASZ8","Slc25a25","Slc25a25 Kiaa1896 Scamc2"
"A2AT37","Upf2","Upf2 RENT2"
"A2AU37","Rad21l1","Rad21l1 Gm14160 Rad21l"
"A2AU72","Armc3","Armc3"
"A2AUC9","Klhl41","Klhl41 Kbtbd10"
"A2AUM9","Cep152","Cep152 Kiaa0912"
"A2AUU0","Mettl8","Mettl8 Tip"
"A2AVA0","Svep1","Svep1"
"A2AVJ5","Prr5l","Prr5l Protor2"
"A2AVZ9","Slc43a3","Slc43a3 Eeg1 Enbt1"
"A2AWL7","Mga","Mga Kiaa4252"
"A2AWP0","Birc7","Birc7 Livin"
"A2AX52","Col6a4","Col6a4 Dvwa"
"A2BDX3","Mocs3","Mocs3 Uba4"
"A2BH40","Arid1a","Arid1a Baf250 Baf250a Osa1 Smarcf1"
"A2CG49","Kalrn","Kalrn"
"A2CG63","Arid4b","Arid4b Sap180"
"A2RST1","Mgst2","Mgst2 Gst2"
"A2RSY6","Trmt1l","Trmt1l"
"A2RT67","Dennd3","Dennd3 Kiaa0870"
"A2RTF1","Catsperb","Catsperb"
"A3FIN4","Atp8b5","Atp8b5 Feta"
"A3KFM7","Chd6","Chd6 Kiaa1335"
"A3KFX0","Nt5c1a","Nt5c1a"
"A3KG59","Pm20d2","Pm20d2 Acy1l2 Gm424"
"A3KGF7","Plcb2","Plcb2"
"A3KGS3","Ralgapa2","Ralgapa2 Kiaa1272"
"A3KGV1","Odf2","Odf2 Odf84"
"A4FUQ5","Fpr-rs4","Fpr-rs4"
"A4Q9E5","Ttll3","Ttll3"
"A4Q9E8","Ttll6","Ttll6"
"A4Q9F0","Ttll7","Ttll7"
"A4Q9F1","Ttll8","Ttll8"
"A4Q9F3","Ttll10","Ttll10"
"A4Q9F4","Ttll11","Ttll11"
"A4QPC6","Btn2a2","Btn2a2"
"A4UUI3","Gbp4","Gbp4"
"A6H5Y3","Mtr","Mtr"
"A6H630","Armt1","Armt1"
"A6H639","Tcte1","Tcte1 D17sil1 Drc5"
"A6H687","Sac3d1","Sac3d1 Shd1"
"A6H6A9","Rabgap1l","Rabgap1l Hhl Kiaa0471"
"A6H6E2","Mmrn2","Mmrn2"
"A6H8H2","Dennd4c","Dennd4c"
"A6H8H5","Kcnb2","Kcnb2"
"A6X8Z5","Arhgap31","Arhgap31 Cdgap Kiaa1204"
"A6X935","Itih4","Itih4"
"A7L9Z8","Atp2c2","Atp2c2 Kiaa0703 Spca2"
"A7M7C7","Skor2","Skor2 Corl2"
"A7MCT6","Etnk2","Etnk2 Tuc1"
"A7RDN6","Rnls","Rnls"
"A7TZE6","Skint1","Skint1"
"A8VU90","Ankle1","Ankle1 Ankrd41 Lem3"
"A9Q751","Cfap221","Cfap221 Gm101 Pcdp1"
