,CellType,Protein,Corr
0,PCC,nan_A0A075B5J6,0.07153133637314132
1,PCC,nan_A0A075B5K6,-0.15784593635538807
2,PCC,nan_A0A075B5L5,0.08205382559636712
3,PCC,nan_A0A075B5M7,-0.00935961902266493
4,PCC,nan_A0A075B5N3,0.07498161443066004
5,PCC,nan_A0A075B5N4,-0.11283061847719217
6,PCC,nan_A0A075B5N5,-0.0026711523966219497
7,PCC,nan_A0A075B5N9,0.02634769238292331
8,PCC,nan_A0A075B5Q0,0.017814618115729052
9,PCC,nan_A0A075B5R5,0.09717502583269029
10,PCC,nan_A0A075B5T2,-0.1393698163768124
11,PCC,nan_A0A075B5U6,-0.023632496853883318
12,PCC,nan_A0A075B5Y4,0.03122759311785888
13,PCC,nan_A0A075B663,0.07492266518719125
14,PCC,nan_A0A0A6YVU8,0.34162859517013616
15,PCC,nan_A0A0A6YXW6,0.02956457736449139
16,PCC,nan_A0A0B4J1H6,-0.12833022359456786
17,PCC,nan_A0A0B4J1H7,-0.22574180480121372
18,PCC,nan_A0A0B4J1I0,-0.2942326816088867
19,PCC,nan_A0A0B4J1J7,-0.07051848144584232
20,PCC,nan_A0A0G2JE99,-0.20750798563987868
21,PCC,nan_A0A0G2JG52,0.035835252569540225
22,PCC,nan_A0A0J9YUD5,0.38677906575524174
23,PCC,nan_A0A0U1RNF2,0.014482191418567762
24,PCC,nan_A0A140LHH9,0.0067604298823653345
25,PCC,nan_A0A140T8M1,-0.12878331196769624
26,PCC,nan_A0A140T8M2,0.024679355031625397
27,PCC,nan_A0A140T8M4,-0.08372549112332689
28,PCC,nan_A0A140T8M5,-0.13967417067966656
29,PCC,nan_A0A140T8N1,0.00023647572363386842
30,PCC,nan_A0A140T8T4,0.26958986558063314
31,PCC,nan_A0A1B0GRV7,0.03236698228576109
32,PCC,nan_A0A1W2P7T6,0.06523489778066201
33,PCC,Cep85l_A0A1W2P884,0.006204429500776193
34,PCC,nan_A0A1Y7VJN6,0.09588330575796036
35,PCC,nan_A0A1Y7VKT9,0.12502816793123123
36,PCC,nan_A0A286YCV9,0.260520188821001
37,PCC,nan_A0A2I3BRL8,0.0942006799610509
38,PCC,nan_A0A2R8VHP3,-0.17106690746736283
39,PCC,Qser1_A0A338P6K9,0.03843337193475502
40,PCC,nan_A0A338P719,0.13844207874660588
41,PCC,nan_A0A494BAW1,0.06885655098485718
42,PCC,nan_A0A6I8MWX0,0.1178062913639876
43,PCC,nan_A0A7N9VR94,0.2931070578875703
44,PCC,Afg2b_A0A7N9VSG0,0.12454957473291324
45,PCC,nan_A0PK51,0.1701972957622098
46,PCC,Krt24_A1L317,0.04198169785981812
47,PCC,Cul4b_A2A432,0.00447037239061268
48,PCC,nan_A2A4M2,0.09535420077935286
49,PCC,nan_A2A588,-0.024616220778920523
50,PCC,nan_A2A5Y0,-0.09110315777174123
51,PCC,Nhsl3_A2A7S8,0.11272405147067678
52,PCC,Itgb4_A2A863,0.6271597169946596
53,PCC,Tmem201_A2A8U2,0.13210518743864103
54,PCC,Bltp1_A2AAE1,0.05337705773801786
55,PCC,Sh3pxd2b_A2AAY5,0.46578274495951294
56,PCC,nan_A2AB72,-0.091856243761987
57,PCC,Ddi2_A2ADY9,0.1253392767828789
58,PCC,Map7d3_A2AEY4,0.21673094199704535
59,PCC,Ckap5_A2AGT5,0.22830665235398787
60,PCC,Card9_A2AIV8,0.08664179333644463
61,PCC,Dcaf10_A2AKB9,0.3083341216814793
62,PCC,Focad_A2AKG8,0.11814303586108102
63,PCC,Setx_A2AKX3,0.1733146076699591
64,PCC,Cntrl_A2AL36,0.30017064045635905
65,PCC,Ubr4_A2AN08,-0.011593515714366115
66,PCC,nan_A2ANY6,-0.11686817460055587
